word,graphemes
আগ্নেয়াস্ত্র,"['আ', 'গ্নে', 'য়া', 'স্ত্র']"
সিঙ্গেল,"['সি', 'ঙ্গে', 'ল']"
সহযোগীকে,"['স', 'হ', 'যো', 'গী', 'কে']"
মাটার,"['মা', 'টা', 'র']"
মি.মি.,"['মি', '.', 'মি', '.']"
রেঞ্জের,"['রে', 'ঞ্জে', 'র']"
নোয়া,"['নো', 'য়া']"
পাম্প,"['পা', 'ম্প']"
ডাবল,"['ডা', 'ব', 'ল']"
ছেলেবেলা,"['ছে', 'লে', 'বে', 'লা']"
বন্দুকযুদ্ধে,"['ব', 'ন্দু', 'ক', 'যু', 'দ্ধে']"
৬.,"['৬', '.']"
দস্যুবৃত্তি,"['দ', 'স্যু', 'বৃ', 'ত্তি']"
নেটওয়ার্কের,"['নে', 'ট', 'ও', 'য়া', 'র্কে', 'র']"
দয়াল,"['দ', 'য়া', 'ল']"
রাজু,"['রা', 'জু']"
সাথী,"['সা', 'থী']"
গোলাবরুদ,"['গো', 'লা', 'ব', 'রু', 'দ']"
হোতা,"['হো', 'তা']"
মোল্লা,"['মো', 'ল্লা']"
জলদস্যুতায়,"['জ', 'ল', 'দ', 'স্যু', 'তা', 'য়']"
মজনু,"['ম', 'জ', 'নু']"
আলিফ,"['আ', 'লি', 'ফ']"
ইলিয়াস,"['ই', 'লি', 'য়া', 'স']"
দলনেতা,"['দ', 'ল', 'নে', 'তা']"
মোতালেব,"['মো', 'তা', 'লে', 'ব']"
ছদ্মনাম,"['ছ', 'দ্ম', 'না', 'ম']"
পশ্চিমঞ্চলে,"['প', 'শ্চি', 'ম', 'ঞ্চ', 'লে']"
পশ্চিমাঞ্চলীয়,"['প', 'শ্চি', 'মা', 'ঞ্চ', 'লী', 'য়']"
শিবসা,"['শি', 'ব', 'সা']"
অস্ত্রবল,"['অ', 'স্ত্র', 'ব', 'ল']"
পাশপাশি,"['পা', 'শ', 'পা', 'শি']"
মোস্তাফা,"['মো', 'স্তা', 'ফা']"
দাপটের,"['দা', 'প', 'টে', 'র']"
রয়েল,"['র', 'য়ে', 'ল']"
মধ্যাঞ্চল,"['ম', 'ধ্যা', 'ঞ্চ', 'ল']"
পাশাপশি,"['পা', 'শা', 'প', 'শি']"
দলনেতার,"['দ', 'ল', 'নে', 'তা', 'র']"
বর্গকিলোমিটার,"['ব', 'র্গ', 'কি', 'লো', 'মি', 'টা', 'র']"
অস্ত্রশক্তি,"['অ', 'স্ত্র', 'শ', 'ক্তি']"
ভাবমূর্তির,"['ভা', 'ব', 'মূ', 'র্তি', 'র']"
সংখা,"['স', 'ং', 'খা']"
বুয়েটের,"['বু', 'য়ে', 'টে', 'র']"
কলেজই,"['ক', 'লে', 'জ', 'ই']"
নিয়মানুযায়ী,"['নি', 'য়', 'মা', 'নু', 'যা', 'য়ী']"
উত্তীর্ণরা,"['উ', 'ত্তী', 'র্ণ', 'রা']"
ইন্টারনেটভিত্তিক,"['ই', 'ন্টা', 'র', 'নে', 'ট', 'ভি', 'ত্তি', 'ক']"
সহযোগিতায়,"['স', 'হ', 'যো', 'গি', 'তা', 'য়']"
ট্রেসিংকে,"['ট্রে', 'সি', 'ং', 'কে']"
গণপিটুনিতে,"['গ', 'ণ', 'পি', 'টু', 'নি', 'তে']"
মনোবিদ,"['ম', 'নো', 'বি', 'দ']"
পনেরই,"['প', 'নে', 'র', 'ই']"
বদলালে,"['ব', 'দ', 'লা', 'লে']"
হক।,"['হ', 'ক', '।']"
জিয়াউল,"['জি', 'য়া', 'উ', 'ল']"
৯ই,"['৯', 'ই']"
দশই,"['দ', 'শ', 'ই']"
পিরোজপুরের,"['পি', 'রো', 'জ', 'পু', 'রে', 'র']"
কলেজগুলোকে,"['ক', 'লে', 'জ', 'গু', 'লো', 'কে']"
আমানুল্লাহ,"['আ', 'মা', 'নু', 'ল্লা', 'হ']"
নির্দেশনার,"['নি', 'র্দে', 'শ', 'না', 'র']"
আবেদনে,"['আ', 'বে', 'দ', 'নে']"
ভান্ডারিয়া,"['ভা', 'ন্ডা', 'রি', 'য়া']"
ল্যাপটপ,"['ল্যা', 'প', 'ট', 'প']"
মফস্বল,"['ম', 'ফ', 'স্ব', 'ল']"
ডেস্ক,"['ডে', 'স্ক']"
প্রাঙ্গণে,"['প্রা', 'ঙ্গ', 'ণে']"
এসত্রমত্রস,"['এ', 'স', 'ত্র', 'ম', 'ত্র', 'স']"
অধীর,"['অ', 'ধী', 'র']"
উত্তীর্ণ,"['উ', 'ত্তী', 'র্ণ']"
ভর্তির,"['ভ', 'র্তি', 'র']"
